underlying,underlying_last,type,expiration,quotedate,strike,last,change,bid,ask,volume,openinterest
AMC,33.43,put,07/09/2021,07/14/2021,13.00,0.01,0,0,0,0,5071
AMC,33.43,call,07/09/2021,07/14/2021,13.00,33.25,0,0,0,0,0
AMC,33.43,put,07/09/2021,07/14/2021,13.50,0.01,0,0,0,0,1655
AMC,33.43,call,07/09/2021,07/14/2021,13.50,32.65,0,0,0,0,0
AMC,33.43,put,07/09/2021,07/14/2021,14.00,0.01,0,0,0,0,1813
AMC,33.43,call,07/09/2021,07/14/2021,14.00,32.60,0,0,0,0,0
AMC,33.43,put,07/09/2021,07/14/2021,14.50,0.01,0,0,0,0,2185
AMC,33.43,call,07/09/2021,07/14/2021,14.50,31.80,0,0,0,0,0
AMC,33.43,put,07/09/2021,07/14/2021,15.00,0.01,0,0,0,0,8431
AMC,33.43,call,07/09/2021,07/14/2021,15.00,31.25,0,0,0,0,0
AMC,33.43,put,07/09/2021,07/14/2021,15.50,0.01,0,0,0,0,756
AMC,33.43,call,07/09/2021,07/14/2021,15.50,30.45,0,0,0,0,0
AMC,33.43,put,07/09/2021,07/14/2021,16.00,0.01,0,0,0,0,2004
AMC,33.43,call,07/09/2021,07/14/2021,16.00,30.98,0,0,0,0,0
AMC,33.43,put,07/09/2021,07/14/2021,16.50,0.01,0,0,0,0,235
AMC,33.43,call,07/09/2021,07/14/2021,16.50,29.80,0,0,0,0,0
AMC,33.43,put,07/09/2021,07/14/2021,17.00,0.01,0,0,0,0,1660
AMC,33.43,call,07/09/2021,07/14/2021,17.00,29.52,0,0,0,0,0
AMC,33.43,put,07/09/2021,07/14/2021,17.50,0.01,0,0,0,0,921
AMC,33.43,call,07/09/2021,07/14/2021,17.50,29.10,0,0,0,0,0
AMC,33.43,put,07/09/2021,07/14/2021,18.00,0.01,0,0,0,0,717
AMC,33.43,call,07/09/2021,07/14/2021,18.00,28.47,0,0,0,0,0
AMC,33.43,put,07/09/2021,07/14/2021,18.50,0.01,0,0,0,0,269
