underlying,underlying_last,type,expiration,quotedate,strike,last,change,bid,ask,volume,openinterest
GME,166.82,put,07/09/2021,07/15/2021,10.00,0.01,0,0,0,0,306
GME,166.82,call,07/09/2021,07/15/2021,10.00,181.35,0,0,0,0,0
GME,166.82,put,07/09/2021,07/15/2021,20.00,0.01,0,0,0,0,226
GME,166.82,call,07/09/2021,07/15/2021,20.00,290.80,0,0,0,0,0
GME,166.82,put,07/09/2021,07/15/2021,30.00,0.01,0,0,0,0,974
GME,166.82,call,07/09/2021,07/15/2021,30.00,0,0,0,0,0,0
GME,166.82,put,07/09/2021,07/15/2021,40.00,0.01,0,0,0,0,300
GME,166.82,call,07/09/2021,07/15/2021,40.00,0,0,0,0,0,0
GME,166.82,put,07/09/2021,07/15/2021,50.00,0.01,0,0,0,0,481
GME,166.82,call,07/09/2021,07/15/2021,50.00,136.00,0,0,0,0,0
GME,166.82,put,07/09/2021,07/15/2021,60.00,0.01,0,0,0,0,463
GME,166.82,call,07/09/2021,07/15/2021,60.00,139.45,0,0,0,0,0
GME,166.82,put,07/09/2021,07/15/2021,70.00,0.01,0,0,0,0,484
GME,166.82,call,07/09/2021,07/15/2021,70.00,121.30,0,0,0,0,0
GME,166.82,put,07/09/2021,07/15/2021,80.00,0.01,0,0,0,0,659
GME,166.82,call,07/09/2021,07/15/2021,80.00,110.00,0,0,0,0,0
GME,166.82,put,07/09/2021,07/15/2021,90.00,0.01,0,0,0,0,728
GME,166.82,call,07/09/2021,07/15/2021,90.00,102.50,0,0,0,0,0
GME,166.82,put,07/09/2021,07/15/2021,100.00,0.01,0,0,0,0,1157
GME,166.82,call,07/09/2021,07/15/2021,100.00,90.56,0,0,0,0,0
GME,166.82,put,07/09/2021,07/15/2021,110.00,0.01,0,0,0,0,526
GME,166.82,call,07/09/2021,07/15/2021,110.00,118.34,0,0,0,0,0
GME,166.82,put,07/09/2021,07/15/2021,120.00,0.01,0,0,0,0,736
GME,166.82,call,07/09/2021,07/15/2021,120.00,68.79,0,0,0,0,0
GME,166.82,put,07/09/2021,07/15/2021,130.00,0.01,0,0,0,0,1329
GME,166.82,call,07/09/2021,07/15/2021,130.00,62.66,0,0,0,0,0
GME,166.82,put,07/09/2021,07/15/2021,140.00,0.01,0,0,0,0,1622
GME,166.82,call,07/09/2021,07/15/2021,140.00,51.30,0,0,0,0,0
GME,166.82,put,07/09/2021,07/15/2021,150.00,0.01,0,0,0,0,2556
GME,166.82,call,07/09/2021,07/15/2021,150.00,40.35,0,0,0,0,0
GME,166.82,put,07/09/2021,07/15/2021,160.00,0.01,0,0,0,0,1855
GME,166.82,call,07/09/2021,07/15/2021,160.00,30.26,0,0,0,0,0
GME,166.82,put,07/09/2021,07/15/2021,170.00,0.02,0,0,0,0,1592
GME,166.82,call,07/09/2021,07/15/2021,170.00,20.89,0,0,0,0,0
GME,166.82,put,07/09/2021,07/15/2021,175.00,0.01,0,0,0,0,1231
GME,166.82,call,07/09/2021,07/15/2021,175.00,16.00,0,0,0,0,0
GME,166.82,put,07/09/2021,07/15/2021,180.00,0.02,0,0,0,0,1603
GME,166.82,call,07/09/2021,07/15/2021,180.00,11.16,0,0,0,0,0
GME,166.82,put,07/09/2021,07/15/2021,185.00,0.04,0,0,0,0,1046
GME,166.82,call,07/09/2021,07/15/2021,185.00,5.99,0,0,0,0,0
GME,166.82,put,07/09/2021,07/15/2021,190.00,0.13,0,0,0,0,809
GME,166.82,call,07/09/2021,07/15/2021,190.00,1.00,0,0,0,0,0
GME,166.82,put,07/09/2021,07/15/2021,192.50,2.00,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,192.50,0.02,0,0,0,0,449
GME,166.82,put,07/09/2021,07/15/2021,195.00,4.22,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,195.00,0.02,0,0,0,0,803
GME,166.82,put,07/09/2021,07/15/2021,197.50,6.50,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,197.50,0.01,0,0,0,0,328
GME,166.82,put,07/09/2021,07/15/2021,200.00,9.30,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,200.00,0.02,0,0,0,0,2575
GME,166.82,put,07/09/2021,07/15/2021,202.50,11.82,0,0,0,0,0
