DATE SYMBOL CUSIP
2020-07-01 ABEQ 90470L568
2020-07-01 BGG 109043109
2020-07-01 CBL 124830100
2020-07-01 CCOR 53656F847
2020-07-01 CMCL G1757E113
2020-07-01 CRC 13057Q206
2020-07-01 DPW 26140E600
2020-07-01 DSS 25614T309
2020-07-01 DUST 25460G880
2020-07-01 EDC 25490K281
2020-07-01 EMQQ 301505889
2020-07-01 EWG 464286806
2020-07-01 EWI 46434G830
2020-07-01 FEZ 78463X202
2020-07-01 FISR 78470P507
2020-07-01 FUMB 33740J104
2020-07-01 FXA 46090N103
2020-07-01 FXB 46138M109
2020-07-01 FXD 33734X101
2020-07-01 GLDM 98149E204
2020-07-01 GSSC 381430602
2020-07-01 HIBS 25460E331
2020-07-01 HSMV 33741Y100
2020-07-01 HTZ 42806J106
2020-07-01 HYGV 33939L662
2020-07-01 IDRV 46435U366
2020-07-01 IWM 464287655
2020-07-01 JDST 25460G807
2020-07-01 JHMA 47804J800
2020-07-01 LABD 25460E539
2020-07-01 LCR 527289789
2020-07-01 LGH 66538R730
2020-07-01 MARB 33740J203
2020-07-01 MITT 001228105
2020-07-01 ONLN 74347B169
2020-07-01 OVL 53656F805
2020-07-01 PEI 709102107
2020-07-01 PHDG 46090A705
2020-07-01 PXE 46137V761
2020-07-01 QQH 66538R748
2020-07-01 RWM 74348A210
2020-07-01 SMDD 74347G879
2020-07-01 SPSK 886364702
2020-07-01 SRTY 74348A152
2020-07-01 TLRD 87403A107
2020-07-01 TMBR 887080109
2020-07-01 TMF 25459W540
2020-07-01 UDN 46141D104
2020-07-01 URTY 74347X799
2020-07-01 UWM 74347R842
2020-07-01 VAL G9402V109
2020-07-01 WLL 966387409
2020-07-01 XBUY 032108870
2020-07-01 XLSR 78470P408
2020-07-02 AMC 00165C104
2020-07-02 BGG 109043109
2020-07-02 CBL 124830100
2020-07-02 CCOR 53656F847
2020-07-02 CMCL G1757E113
2020-07-02 CRC 13057Q206
2020-07-02 DUST 25460G880
2020-07-02 EWG 464286806
2020-07-02 EWI 46434G830
2020-07-02 FEZ 78463X202
2020-07-02 FISR 78470P507
2020-07-02 FUMB 33740J104
2020-07-02 FXA 46090N103
2020-07-02 FXB 46138M109
2020-07-02 GLDM 98149E204
2020-07-02 GSSC 381430602
2020-07-02 HIBS 25460E331
2020-07-02 HSMV 33741Y100
2020-07-02 HTZ 42806J106
